,X,z,z_cat,y_c,y_k,y_r,prd_c,prd,ek_n,er_n,ek,er,ec_k,ec_r,s,blk_d,clay,silt,sand,d10,d50,d90,sp13,sp23,sp33,X0.45um,X0.95um,X15.1um,X209um,X955um,X955.um,m0.2um,m0.6um,m4.3um,m79um,m275um,m1260um,hr_cs,h_3,hrel_3,h_6,hrel_6,hrel_t,tn,oc,cn,nc,d13c,d15n,d13ci,d15ni,cs_um,oc_p,nc_p,d13c_p,d15n_p,oc_r,nc_r,d13c_r,d15n_r,cs_um_p,m4.3_p,m79_p,m275_p,m1260_p,cs_um_r,m4.3_r,m79_r,m275_r,m1260_r,sv,cv,plot_e,log_slt,d13c_w,d18o_w,rci_i,climate,r0.2um,r0.6um,r79um,r275um,r1260um
340,340,339,300-400,1264,,1260,1200-1300,hst,No-Event,1260 A.D.,0,16,n_evnt,evnt,0.428571429,0.673742424,12.647411,72.703736,14.648855,3.19,19.27,72.03,0.00703699,0.42555979,0.56740324,0,0.00703699,0.42555979,0.56740324,0,0,0,0.026987,2.303778,3.177128,0,0,0.705118837,1.038733548,0.655367901,1.038733556,0.401836992,0.796809894,0.260894939,5.398969133,24.14304146,0.041419802,-26.93995581,0.985879532,-26.93995581,0.985879532,0.026987,2.909838513,0.054221916,-26.99297549,1.324879928,5.975692694,-0.616332919,-0.729713581,-0.914060572,-0.041005782,3.342584596,1.294417322,0.015632239,0.212402675,0.286821606,-2.440284271,4.730776721,0.384572094,-0.906853912,,,,-1.346350449,-2.67,-8.76,0.012345679,MCA,0,0.008422607,0.991577393,0,0
341,341,340,300-400,1261,,1260,1200-1300,hst,No-Event,1260 A.D.,0,16,n_evnt,evnt,0.285714286,0.696227273,11.299642,58.962968,29.73739,3.46,29.16,111.7,0.00585252,0.36083746,0.63331002,0,0.00585252,0.36083746,0.62640237,0.00690765,0,0,0,2.034103,4.700458,0.180022,0,0.836054808,0.991408078,0.625508854,1.046347185,0.404782346,0.81316101,0.223837461,4.060881674,21.16578374,0.047246065,-26.95302593,1.048296544,-26.95302593,1.048296544,0,3.151887134,0.048436517,-26.96326759,1.222105703,-2.022883423,0.776712893,-0.043181115,-0.178114581,-0.073134264,3.676812991,1.025350481,0.084951125,0.17290428,0.306792195,-1.556340391,5.218740752,0.393795683,-0.691526153,,,,-0.336115222,-2.82,-8.83,0.011627907,MCA,0,0,0.963113874,0.036886126,0
342,342,341,300-400,1258,,1260,1200-1300,hst,No-Event,1260 A.D.,0,16,n_evnt,evnt,0.142857143,0.712287879,26.363551,71.027257,2.609187,2.14,6.91,23.59,0.00707041,0.78967165,0.20325789,0,0.00707041,0.78967165,0.18817706,0.01032795,0.00475288,0,0,5.036885,0.199747,0.140444,0.122539,0.627699949,0.786744475,0.496380498,0.877823061,0.339588315,0.762464193,0.207025401,2.268261584,12.78251447,0.078231869,-27.22690183,1.573753452,-27.22690183,1.573753452,0,2.091032277,0.074843636,-27.07774255,1.718173723,-1.140444855,0.567800955,-0.313892575,-0.268613057,0.032470292,5.190987572,0.279576748,0.085218309,0.14035176,-0.297226785,0.851078745,-6.10551563,-0.10320006,-0.015840476,,,,-0.637307162,-2.576,-8.859,0.004366812,MCA,0,0,0.431670737,0.303511767,0.264817496
343,343,342,300-400,1256,,1260,1200-1300,hst,No-Event,1260 A.D.,0,16,n_evnt,evnt,0,0.724333333,30.508763,67.292018,2.199238,1.99,6.08,20.35,0.00687347,0.82782038,0.16530634,0,0.00687347,0.82782038,0.14642593,0.01453133,0.00434908,0,0,5.525077,0.015492,0.172841,0.102631,0.648723674,0.704321715,0.444377526,0.803741854,0.310929793,0.752867191,0.214907846,2.403846036,13.04971922,0.076630001,-27.51705186,1.093136925,-27.51705186,1.093136925,0,1.96903577,0.077768488,-27.04806737,1.784893266,0.816856557,-0.411442397,-0.768404479,-2.05602917,0.028041286,4.946682655,0.345235722,0.086586834,0.166929108,-0.107656558,0.883426104,-0.611910066,0.136057653,-0.279599609,,,,-1.332097733,-2.719,-8.894,0.008928571,MCA,0,0,0.0532437,0.594028815,0.352727485
344,344,343,300-400,1253,,,1200-1300,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.742,30.291763,67.474032,2.234207,1.97,6.15,20.64,0.00965735,0.82105284,0.16928983,0,0.00965735,0.82105284,0.14863284,0.01072458,0.00993241,0,0,5.421695,0.013999,0.043717,0.241993,0.648238405,0.73199259,0.461835904,0.843222054,0.326202819,0.755149544,0.190508188,2.279687876,13.96074301,0.071629425,-27.57737549,1.987547741,-27.57737549,1.987547741,0,2.05910773,0.078278728,-27.26578608,1.731651107,-0.192924957,-0.857714764,-0.064826904,1.593795075,0.000359776,5.062642553,0.359700136,0.113510175,0.101799384,0.041669011,0.113472805,-0.244759007,-0.527425748,0.647465084,,,,-0.213328622,-2.721,-8.844,0.007462687,MCA,0,0,0.046708641,0.145864822,0.807426537
345,345,344,300-400,1250,,,1200-1300,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.848963636,30.88893,67.082536,2.028533,1.97,6.02,20.03,0.00722589,0.83099877,0.16177533,0,0.00722589,0.83099877,0.14399364,0.01332092,0.00446077,0,0,5.542591,0.014837,0.140082,0.106787,0.646059186,0.698474829,0.440688552,0.793758043,0.307067527,0.751636826,0.171309718,1.708993054,11.6387164,0.085920128,-25.29115509,1.991324684,-25.29115509,1.991324684,0,1.922086011,0.079777772,-27.12197394,1.795087748,-0.941676322,1.360972882,4.076775486,0.342931973,0.034521416,5.719511093,0.078723952,0.072254678,0.125736608,-0.194269823,-0.471487062,0.41395586,0.467848646,-0.135756725,,,,-0.155666048,-2.732,-8.864,0.008196721,MCA,0,0,0.056693389,0.535264763,0.408041848
346,346,345,300-400,1247,,,1200-1301,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.7261,20.332073,78.207376,1.460551,2.59,7.86,23.22,0.0018955,0.77778967,0.22031483,0,0.0018955,0.77778967,0.22031483,0,0,0,0,4.766943,0.250323,0,0,0.525982311,0.779934102,0.492083631,0.779934102,0.301719697,0.735471915,0.14589073,1.728424297,13.82195441,0.072348669,-26.11537895,1.100329061,-26.11537895,1.100329061,0,2.124239232,0.074538446,-27.19692884,1.675191572,-0.65245979,-0.763710998,-0.019513772,-2.062216435,-0.047358391,4.853254387,0.332936546,0.13673675,0.143340579,0.321077398,-0.002834063,-0.082538932,-0.710901834,-0.63093076,,,,-0.123830858,-2.694,-8.844,0.015384615,MCA,0,0,1,0,0
347,347,346,300-400,1244,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,1,0.848642424,20.927138,79.037927,0.034936,2.5,7.74,20.67,0.00365772,0.79752376,0.19881853,0,0.00365772,0.79752376,0.19881853,0,0,0,0,4.693351,0,0,0,0.469717708,0.753262673,0.475255833,0.75326268,0.291401782,0.719079159,0.15867535,1.772386429,13.03153999,0.076736901,-26.72855159,1.671606476,-26.72855159,1.671606476,0,1.890161008,0.076204598,-26.71636171,1.794389116,0.391181883,0.237089211,-1.327865055,0.24918616,-0.006342199,5.207320933,0.236344301,0.120433167,0.117558575,-0.038009415,-0.640974134,-0.397636588,7.28E-05,-0.470566134,,,,0.082571705,-2.839,-8.726,0.015873016,MCA,0,0,0,0,0
348,348,347,300-400,1242,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.928571429,0.630378788,25.369602,74.156007,0.474389,2.17,6.97,20.26,0.00877043,0.81054541,0.18068414,0,0.00877043,0.81054541,0.17745366,0.00323048,0,0,0,5.008992,0.010763,0.046329,0,0.541668823,0.751564492,0.4741844,0.774937964,0.299786927,0.736000266,0.154387837,1.681018988,12.70300079,0.078721557,-27.14047652,1.599741221,-27.14047652,1.599741221,0,2.083696356,0.074747109,-27.09912632,1.713355877,-0.838118102,0.523619899,-0.068908458,-0.226916968,0.00475104,5.257282099,0.194362935,0.12309184,0.119541703,-0.036697391,-0.004908545,-0.03127243,0.106112038,-0.488849183,,,,0.459567503,-2.712,-8.966,0.012345679,MCA,0,0,0.188520283,0.811479717,0
349,349,348,300-400,1239,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.857142857,0.799015152,35.702736,64.290255,0.007012,1.99,5.05,13.7,0.00105517,0.92027019,0.07867467,0,0.00105517,0.92027019,0.07867467,0,0,0,0,6.885728,0,0,0,0.593838701,0.409322489,0.258253737,0.40932252,0.158347566,0.699542923,0.148143065,1.565402432,12.3279671,0.081116375,-26.70603544,1.750768202,-26.70603544,1.750768202,0,1.578378771,0.085700988,-26.70819735,2.011650989,0.675360938,-0.942825443,0.054195892,-0.709254748,0.010361209,5.421615991,0.137185173,0.116618309,0.114753515,-0.051072137,2.144757009,-0.012071902,-0.177273818,-0.466813694,,,,0.243487457,-2.878,-8.9,0.005291005,MCA,0,0,0,0,0
350,350,349,300-400,1236,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.785714286,0.662178788,26.215543,72.056024,1.728435,2.16,6.77,20.82,0.00698335,0.81327127,0.1797454,0,0.00698335,0.81327127,0.16661687,0.01312853,0,0,0,5.190465,0.062296,0.174336,0,0.598267418,0.737569147,0.46535432,0.805362971,0.311556926,0.745993965,0.184855841,2.243965177,14.16216746,0.070610661,-27.55019004,1.597942091,-27.55019004,1.597942091,0,2.06371436,0.075514735,-27.11966739,1.729154801,0.490847769,-0.356061038,-0.872982581,-0.128913337,-0.01173108,4.890737007,0.391367845,0.120964741,0.120507062,0.082354261,-0.538448685,-0.517913792,0.564786886,-0.494174152,,,,0.007977477,-2.805,-8.895,0.012048193,MCA,0,0,0.263261097,0.736738903,0
351,351,350,300-400,1233,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.714285714,0.694942424,32.752889,64.659758,2.587662,1.85,5.77,19.88,0.01319626,0.83102235,0.15578448,0,0.01319626,0.83102235,0.13327497,0.01600962,0.00649989,0,0.086618,5.566501,0.018178,0.177244,0.163252,0.675471675,0.722183374,0.455646978,0.834532707,0.32284132,0.760417275,0.234851214,2.783557784,13.82783602,0.072317895,-28.6652116,1.972168189,-28.6652116,1.972168189,0.086618,1.973413282,0.07864673,-27.07331775,1.800260213,1.786044024,-0.534269386,-2.699533304,0.697788001,0.041639783,5.028452987,0.408060515,0.086701121,0.114602169,0.235564447,0.535903951,-0.345078264,0.157484945,0.260704335,,,,-0.484604578,-3.005,-8.935,0.010526316,MCA,0,0.194519551,0.040822651,0.398039938,0.36661786
352,352,351,300-400,1231,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.642857143,0.683218182,24.991642,72.438769,2.569592,2.18,7.2,23.07,0.00843742,0.78479788,0.20676473,0,0.00843742,0.78479788,0.18391106,0.01514996,0.00770371,0,0,4.844194,0.013956,0.134681,0.190986,0.61367254,0.802666204,0.506425991,0.927432422,0.358779836,0.7586169,0.228373978,2.275849038,11.6263562,0.086011471,-28.07168017,1.563058956,-28.07168017,1.563058956,0,2.115667666,0.074195365,-27.11846114,1.68888395,-1.010648084,2.140917732,-0.008937065,-0.59556651,0.089189565,5.475890462,0.154187806,0.061704293,0.151204695,-0.573458258,-1.20341594,0.313721274,-0.024544096,0.159184684,,,,0.184746896,-3.113,-8.909,0.011235955,MCA,0,0,0.041092623,0.396560304,0.562347073
353,353,352,300-400,1228,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.571428571,0.718230303,29.929782,66.884348,3.18587,1.98,6.14,20.32,0.00957457,0.82821974,0.16220569,0,0.00957457,0.82821974,0.13326393,0.018203,0.01073876,0,0,5.505985,0.015846,0.148337,0.267988,0.673449025,0.715062094,0.451153951,0.852351368,0.329734519,0.757728843,0.209661396,2.201348774,12.24946646,0.081636209,-28.02021468,1.849020699,-28.02021468,1.849020699,0,1.983415169,0.077585766,-27.05352809,1.770115001,0.283782503,-0.298826474,-0.805739788,0.393633174,0.060842002,5.406537095,0.197932371,0.083266708,0.12400576,-0.20438461,0.542400071,-0.182856803,0.002836939,0.626144307,,,,-0.11798121,-3.258,-8.957,0.006802721,MCA,0,0,0.036666042,0.343236821,0.620097137
354,354,353,300-400,1225,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.5,0.736218182,28.460846,68.423725,3.115435,2.08,6.4,21.45,0.00542754,0.81765632,0.1769162,0,0.00542754,0.81765632,0.14922993,0.01818949,0.00949678,0,0,5.402095,0.011181,0.171733,0.234709,0.660244832,0.720408839,0.454527371,0.856816586,0.331461902,0.756601833,0.17248982,1.680242745,11.3646313,0.087992296,-27.33648765,1.52927529,-27.33648765,1.52927529,0,1.976585032,0.077358813,-27.02792341,1.769189491,-1.153162533,1.206996537,0.540998616,-0.857303567,0.062764569,5.59645019,0.052386354,0.087762408,0.140887383,-0.259411914,-0.327609796,0.201067799,0.096418793,0.364698522,,,,0.159214325,-3.196,-8.931,0.007692308,MCA,0,0,0.026772951,0.411215378,0.562011671
355,355,354,300-400,1222,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.428571429,0.747139394,24.609085,72.569293,2.821624,2.23,7.22,23.64,0.00657966,0.7847877,0.20863266,0,0.00657966,0.7847877,0.18371001,0.01214535,0.0127773,0,0,4.896878,0.017956,0.095179,0.308583,0.617489917,0.793780532,0.500819756,0.928807588,0.359311823,0.758355967,0.212877298,2.127382802,11.65904782,0.085770297,-27.35639032,1.515382007,-27.35639032,1.515382007,0,2.041023719,0.075255246,-26.99693366,1.721715485,0.746033221,0.704122485,-0.354898491,-0.39316844,0.072141291,5.475677476,0.146041901,0.065937133,0.152973719,-0.309335732,-0.659132817,-0.221249121,-0.161832357,0.658061788,,,,0.600903968,-3.387,-8.93,0.008130081,MCA,0,0,0.042578216,0.225693473,0.731728311
356,356,355,300-400,1219,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.357142857,0.696227273,30.442975,65.198014,4.359014,1.87,5.91,20.11,0.01929184,0.79424177,0.18646642,0,0.01929184,0.79424177,0.15019549,0.01917899,0.01709194,0,0.203292,5.09129,0.13796,0,0.427689,0.707716648,0.825660285,0.52093364,0.994389746,0.384682465,0.777828328,0.217507665,2.435402718,13.0630025,0.076552079,-27.6919574,1.109944854,-27.6919574,1.109944854,0.203292,2.075186169,0.077473283,-27.06012425,1.772039228,0.78319177,-0.906920305,-0.844232509,-1.891715849,0.031179784,4.943365858,0.348466697,0.086421418,0.165761483,1.083784487,0.573975966,-0.266277323,-0.405878036,1.108524061,,,,-0.138707725,-3.991,-8.914,0.014492754,MCA,0,0.264379192,0.179415586,0,0.556205223
357,357,356,300-400,1217,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.285714286,0.7102,23.591212,76.311646,0.097142,2.51,8.21,26.82,0.00247844,0.79988017,0.19764139,0,0.00247844,0.79988017,0.19764139,0,0,0,0,4.967133,0.012174,0,0,0.504063035,0.741422721,0.467785654,0.741422721,0.286821461,0.725971114,0.2150531,2.569006772,13.93690471,0.071751944,-29.10521168,1.49349259,-29.10521168,1.49349259,0,1.995225701,0.075665637,-26.94007824,1.754520681,0.855464538,-0.486297823,-3.6158679,-0.096438972,0.027217079,4.843825896,0.410628267,0.109702342,0.129665004,-0.421826028,0.071689983,-0.555520782,-0.121467557,-0.6731101,,,,-0.527206007,-4.033,-8.889,0.0125,MCA,0,0,1,0,0
358,358,357,300-400,1214,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.214285714,0.780063636,24.972649,74.227773,0.799577,2.46,6.85,18.23,0.00065357,0.86075965,0.13858677,0,0.00065357,0.86075965,0.13858677,0,0,0,0,6.032041,0.147368,0,0,0.551878474,0.588241943,0.371139344,0.588241934,0.227563044,0.711885944,0.178358118,1.939916922,12.68928175,0.078806667,-27.73695347,1.769459166,-27.73695347,1.769459166,0,1.799933285,0.080850083,-26.82878805,1.892884514,-0.646889623,-0.000429762,0.772875781,-0.103787491,0.02642295,5.28939453,0.213865338,0.11027263,0.115356338,-0.106709661,0.927064934,0.493158514,-0.049329861,-0.465782686,,,,-0.607013464,-3.804,-8.957,0.007936508,MCA,0,0,1,0,0
359,359,358,300-400,1211,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.142857143,0.760790909,23.761678,73.771805,2.466515,2.26,7.51,23.91,0.00660866,0.77298652,0.2204048,0,0.00660866,0.77298652,0.19813443,0.013059,0.00921137,0,0,4.70254,0.013451,0.110107,0.224189,0.598215221,0.81588202,0.514764242,0.941766147,0.364324878,0.757350707,0.16818012,1.748856886,12.13183242,0.082427779,-27.22109238,1.680602126,-27.22109238,1.680602126,0,2.06154329,0.07451386,-26.99419435,1.71064429,-1.058340166,1.271785904,0.635585802,0.041703865,0.032504176,5.426236845,0.140823509,0.103942625,0.124372267,-0.142268197,-1.460136124,-0.178862764,0.373764362,0.486513508,,,,0.755244861,-4.195,-8.733,0.014492754,MCA,0,0,0.03868042,0.316629619,0.644689961
360,360,359,300-400,1208,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0.071428571,0.792269697,27.829949,72.047321,0.122731,2.11,6.46,19.32,0.00569081,0.83101519,0.16329401,0,0.00569081,0.83101519,0.16329401,0,0,0,0,5.391387,0.015535,0,0,0.546500916,0.691287571,0.436153897,0.691287578,0.26742654,0.729697574,0.186315055,1.77137211,11.09196887,0.09015532,-27.45912026,1.58774702,-27.45912026,1.58774702,0,1.871496913,0.078444709,-26.83425652,1.834385453,0.290630848,1.074273175,-0.989870065,-0.757039097,0.082502343,5.694027434,0.026763149,0.073733764,0.144395775,-0.414968749,0.056747981,0.180172048,-0.286420634,-0.679194866,,,,-0.258323287,-4.113,-8.722,0.014705882,MCA,0,0,1,0,0
361,361,360,300-400,1206,,1240,1200-1300,hst,No-Event,1240 A.D.,0,15,n_evnt,evnt,0,0.761754545,23.343491,76.442387,0.214121,2.32,7.42,21.94,0.00459101,0.78962421,0.20578477,0,0.00459101,0.78962421,0.20578477,0,0,0,0,4.831686,0.046717,0,0,0.508025721,0.774084305,0.48839282,0.774084299,0.299456684,0.732501612,0.157271627,1.556399289,11.54562459,0.086612898,-27.03647362,1.658684988,-27.03647362,1.658684988,0,1.989336444,0.075459259,-26.88999602,1.758894694,-0.947762327,0.715033249,0.456803566,-0.045456582,0.046086747,5.600880513,0.053000848,0.098565205,0.128466918,-0.131530888,-0.84733493,0.003991537,-0.121610801,-0.518722443,,,,-0.478056397,-4.172,-8.668,0.0125,MCA,0,0,1,0,0
362,362,361,300-400,1203,,,1200-1300,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.771069697,27.647613,69.974264,2.378125,2.13,6.48,20.78,0.00524171,0.82153993,0.17321838,0,0.00524171,0.82153993,0.15208232,0.01719682,0.00393924,0,0,5.4186,0.011636,0.153992,0.117043,0.631887086,0.710823951,0.44847998,0.818184607,0.316517012,0.749478947,0.15915885,1.55317627,11.38509721,0.08783412,-27.25285624,1.739773518,-27.25285624,1.739773518,0,2.013428075,0.078470744,-27.23425404,1.746342653,-0.432650453,0.502594556,0.138891569,0.090991102,0.056441309,5.672442492,0.027834293,0.095785865,0.124799164,-0.246719534,0.1522491,-0.026250127,0.52474087,0.0126111,,,,0.098936069,-4.222,-8.623,0.011111111,MCA,0,0,0.041164463,0.544774667,0.414060869
363,363,362,300-400,1200,,,1200-1300,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.863418182,25.499905,74.413443,0.086653,2.24,6.85,19.74,0.00368852,0.82263039,0.1736811,0,0.00368852,0.82263039,0.1736811,0,0,0,0,5.219496,0.010626,0,0,0.522915749,0.700164366,0.441754531,0.700164374,0.270860553,0.725320164,0.146848221,1.432602822,11.38161528,0.087860991,-26.95813591,1.928782136,-26.95813591,1.928782136,0,1.863186184,0.078501186,-26.97636253,1.796124799,-0.307523234,0.634284198,0.059263182,0.432595135,0.049156454,5.752911279,0.003864528,0.100546468,0.111960756,-0.189469049,-0.559232085,0.041307133,-0.549298379,-0.495393109,,,,-0.215507985,-4.061,-8.63,0.011363636,MCA,0,0,1,0,0
364,364,363,300-400,1197,,,1100-1200,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.769784848,24.98316,74.90459,0.11225,2.24,6.97,20.2,0.00477902,0.8152005,0.18002048,0,0.00477902,0.8152005,0.18002048,0,0,0,0,5.111906,0.013887,0,0,0.519358192,0.722469755,0.455827665,0.722469755,0.279489453,0.727871894,0.151924034,1.532147646,11.76578544,0.084992201,-26.85301064,1.956731827,-26.85301064,1.956731827,0,1.971781314,0.077031382,-27.11589508,1.741945032,-0.383262732,0.436400609,0.509505028,0.54019568,0.035878539,5.645047248,0.060788482,0.104114276,0.108853402,-0.125884423,-0.37846626,-0.116248518,-0.056230172,-0.443338506,,,,-0.021899964,-4.246,-8.625,0.010752688,MCA,0,0,1,0,0
365,365,364,300-400,1194,,,1100-1200,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.77460303,27.517063,69.906326,2.576609,2.12,6.56,21.24,0.0050553,0.81585597,0.17908871,0,0.0050553,0.81585597,0.15489339,0.01306833,0.01112699,0,0,5.321564,0.008533,0.079785,0.270962,0.636817016,0.722472708,0.455829528,0.848863073,0.328385063,0.751432185,0.16490836,1.77556499,12.56147646,0.079608476,-27.08431291,1.829408903,-27.08431291,1.829408903,0,2.024206945,0.078362997,-27.19579441,1.737046393,0.128559281,-0.411431745,-0.091384889,0.055916255,0.016631443,5.367183048,0.181369143,0.111705095,0.112204463,-0.037950763,0.282174602,-0.312577522,0.21634437,0.7464214,,,,-0.545558084,-4.142,-8.575,0.00729927,MCA,0,0,0.023750278,0.222069138,0.754180583
366,366,365,300-400,1192,,,1100-1200,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.751154545,29.652925,68.199574,2.147498,2.01,6.24,20.44,0.00753218,0.82322474,0.16924305,0,0.00753218,0.82322474,0.14981425,0.0141919,0.0052369,0,0,5.406121,0.007406,0.14729,0.134227,0.640779095,0.717894989,0.452941309,0.821259248,0.317706446,0.752446561,0.171606583,1.795701406,12.20806885,0.081913037,-27.32803783,1.950896471,-27.32803783,1.950896471,0,2.030709985,0.078233786,-27.25700286,1.736199576,-0.172350154,0.429147425,-0.277940146,0.584963078,0.035480015,5.493604706,0.140114409,0.103072979,0.109108371,-0.174322185,-0.089145118,-0.019373543,0.26171586,0.053542051,,,,-0.20101339,-4.142,-8.575,0.014285714,MCA,0,0,0.025633127,0.509789806,0.464577067
367,367,366,300-400,1189,,,1100-1200,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.717587879,33.435283,63.963495,2.601222,1.8,5.71,19.42,0.01361703,0.83428644,0.15209653,0,0.01361703,0.83428644,0.12923176,0.01821666,0.00464811,0,0.045541,5.474529,0.01194,0.195905,0.124116,0.679996355,0.715711886,0.451563924,0.82524816,0.319249568,0.760108822,0.190430164,1.893884457,11.60284602,0.086185751,-27.01330522,2.048786898,-27.01330522,2.048786898,0.045541,2.038998805,0.078706677,-27.30038723,1.74128676,0.03704259,0.787627286,0.665981077,0.745667648,0.064258378,5.698303547,0.083639928,0.075493898,0.117905339,-0.050344338,-0.246868958,0.052950611,0.294726518,0.01842362,,,,-0.008483641,-4.234,-8.613,0.010204082,MCA,0,0.120637771,0.031628972,0.518950893,0.328782364
368,368,367,300-400,1186,,,1100-1200,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.704257576,31.277671,66.070375,2.651951,2.07,5.77,18.7,0.00237848,0.85400479,0.1436167,0,0.00237848,0.85400479,0.11825896,0.01730901,0.00804873,0,0,6.05279,0,0.138551,0.199075,0.667770278,0.617257726,0.389446265,0.736701729,0.284995132,0.741578721,0.198966182,1.87432515,10.9903736,0.090988718,-26.56265247,2.121713643,-26.56265247,2.121713643,0,1.946706938,0.080180372,-27.29916101,1.777649017,0.067593692,0.978589243,1.143060619,0.759111964,0.088583617,5.925817243,0.005771066,0.052651563,0.125904916,-0.47077531,0.316497275,0.102655672,-0.072984913,0.323337063,,,,0.132567307,-4.243,-8.616,0.016393443,MCA,0,0,0,0.410368277,0.589631723
369,369,368,300-400,1183,,,1100-1200,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.706506061,28.180544,69.424745,2.394711,2.06,6.46,20.74,0.00842949,0.818065,0.17350551,0,0.00842949,0.818065,0.15173766,0.01382509,0.00794276,0,0,5.309879,0.011771,0.123266,0.195446,0.636835517,0.733524956,0.46280272,0.848666607,0.328309059,0.753554186,0.19954911,2.149625496,12.56781557,0.079568322,-27.43975309,1.808088789,-27.43975309,1.808088789,0,2.092930663,0.077442192,-27.31473179,1.70448901,0.274654061,-0.496964694,-1.140213714,-0.052613023,0.039060136,5.327077034,0.229550565,0.089515414,0.124230267,-0.082397348,-0.105240469,-0.479848889,-0.151667146,0.290076512,,,,0.027573797,-4.194,-8.587,0.014285714,MCA,0,0,0.035617566,0.372987415,0.591395019
370,370,369,300-400,1181,,,1100-1200,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.679042424,29.847431,68.145396,2.00717,2.02,6.14,19.94,0.00715146,0.83122781,0.1616207,0,0.00715146,0.83122781,0.14402509,0.01192545,0.00567016,0,0,5.5596,0.014499,0.139788,0.136197,0.63778787,0.697599574,0.440136327,0.793799691,0.307083639,0.749650541,0.177362452,2.035102423,13.3866336,0.07470138,-27.37577587,1.724601614,-27.37577587,1.724601614,0,2.060763235,0.077947319,-27.34755157,1.719384984,-0.166455857,-0.616738667,0.093584868,-0.099117331,0.001971853,5.113607159,0.295049385,0.116785582,0.115421313,0.049742599,0.615623259,-0.278969065,-0.024345733,0.066329374,,,,-0.295494769,-4.273,-8.627,0.008196721,MCA,0,0,0.049913248,0.481224439,0.468862313
371,371,370,300-400,1178,,,1100-1200,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.73220303,26.428246,71.741246,1.830512,2.15,6.77,20.98,0.00666703,0.81148216,0.18185085,0,0.00666703,0.81148216,0.16560392,0.01249447,0.00375246,0,0,5.172971,0.009139,0.138358,0.101185,0.603649895,0.73995216,0.466857834,0.831592076,0.321703729,0.747999099,0.216350842,2.476786144,13.3560092,0.074872665,-27.87396667,1.643904639,-27.87396667,1.643904639,0,2.073547773,0.077099355,-27.26967764,1.708597322,1.092142142,-0.075695751,-1.187667934,-0.21321354,0.030082693,5.053959733,0.350880402,0.090647594,0.132643541,-0.166706489,-0.126461734,-0.315190628,0.099305955,-0.147615539,,,,0.109639963,-4.274,-8.555,0.007246377,MCA,0,0,0.036749745,0.556365157,0.406885098
372,372,371,300-400,1175,,,1100-1200,hst,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.6996,29.60257,67.74473,2.6527,2,6.23,20.46,0.00857362,0.82413685,0.16728953,0,0.00857362,0.82413685,0.142713,0.01628154,0.00829499,0,0,5.428972,0.008804,0.137606,0.20392,0.655782626,0.720372914,0.454504705,0.843760129,0.326410974,0.755272292,0.214058417,2.495297307,13.59993332,0.073529772,-27.79288327,1.987815357,-27.79288327,1.987815357,0,2.085428273,0.077831601,-27.33421531,1.710918835,0.354132909,-0.444873212,-0.199136014,0.959962818,0.02527849,5.11995529,0.356831209,0.092998401,0.111845695,-0.095784839,0.342068283,-0.230637019,0.009330423,0.421281653,,,,0.127446789,-4.194,-8.609,0.005181347,MCA,0,0,0.025130591,0.392789655,0.582079753
