,X,z,z_cat,y_c,y_k,y_r,prd_c,prd,ek_n,er_n,ek,er,ec_k,ec_r,s,blk_d,clay,silt,sand,d10,d50,d90,sp13,sp23,sp33,X0.45um,X0.95um,X15.1um,X209um,X955um,X955.um,m0.2um,m0.6um,m4.3um,m79um,m275um,m1260um,hr_cs,h_3,hrel_3,h_6,hrel_6,hrel_t,tn,oc,cn,nc,d13c,d15n,d13ci,d15ni,cs_um,oc_p,nc_p,d13c_p,d15n_p,oc_r,nc_r,d13c_r,d15n_r,cs_um_p,m4.3_p,m79_p,m275_p,m1260_p,cs_um_r,m4.3_r,m79_r,m275_r,m1260_r,sv,cv,plot_e,log_slt,d13c_w,d18o_w,rci_i,climate,r0.2um,r0.6um,r79um,r275um,r1260um
21,21,20,0-200,1982,1982,1982,1900-present,ofp,1982 A.D.,1982 A.D.,22,27,evnt,evnt,0.375,0.679363636,17.762539,82.23746,0,2.97,7.12,15.73,0.00040533,0.88715712,0.11243754,0,0.00040533,0.88715712,0.11243754,0,0,0,0,5.693529,0,0,0,0.425785874,0.512307221,0.323229869,0.512307212,0.198187483,0.668987022,0.114130043,1.825010086,18.65572269,0.053602855,-25.77627211,2.096659794,-25.77627211,2.096659794,0,1.901100393,0.074400518,-26.63534565,2.134693401,-0.303705831,-2.375213369,0.459484804,0.019945943,-0.018955894,3.886144249,0.910654063,0.289223325,0.007051149,0.283027339,0.39372371,-1.209411109,-0.408015975,-0.014412534,0.28537008,0.427110076,,2.994233281,,,0.019607843,Historical,0,0,0,0,0
22,22,21,0-200,1982,1982,1982,1900-present,ofp,1982 A.D.,1982 A.D.,22,27,evnt,evnt,0.25,0.587978788,18.480741,80.915444,0.603817,2.55,9.16,25.76,0.00701897,0.71574668,0.27723437,0,0.00701897,0.71574668,0.27723437,0,0,0,0,3.74595,0.161209,0,0,0.468081739,0.908661616,0.57330165,0.908661627,0.351518301,0.739891227,0.179227517,2.799908259,18.22577078,0.054867364,-26.50147189,2.050278898,-26.50147189,2.050278898,0,2.405665622,0.063396934,-27.36088528,1.853180938,1.157584373,0.327629221,0.702309319,0.674349642,0.045843021,3.843833371,1.015877292,0.223794187,0.042019056,-0.288267728,-1.298892461,-0.451217033,0.11211163,-0.184403037,0.180328332,0.288061269,,2.994233281,,,0.019607843,Historical,0,0,1,0,0
23,23,22,0-200,1981,1982,1982,1900-present,ofp,1982 A.D.,1982 A.D.,22,27,evnt,evnt,0.125,0.544293939,27.758135,70.511235,1.730633,2.02,6.76,22.76,0.01051351,0.79038654,0.19909998,0,0.01051351,0.79038654,0.18770308,0.0113969,0,0,0.049563,4.969356,0.161436,0.015792,0,0.611981988,0.800915328,0.50532131,0.863910252,0.334206106,0.757685868,0.202577135,2.446717625,14.09094811,0.070967545,-27.81301573,1.914536082,-27.81301573,1.914536082,0.049563,2.356426346,0.068337466,-27.50749118,1.954280109,-0.459770223,1.002348452,-1.653227967,-0.347789219,0.138663008,4.427041818,0.717106756,0.196693719,0.060680453,-0.431417137,0.798245376,0.130083052,0.058763402,-0.254620761,0.279509234,0.114044595,,2.096895699,,,0.019230769,Historical,0,0.218540418,0.711827189,0.069632393,0
24,24,23,0-200,1979,,1982,1900-present,ofp,No-Event,1982 A.D.,0,27,n_evnt,evnt,0,0.665551515,28.052244,71.241559,0.7062,2.08,6.49,20.24,0.0062507,0.82103984,0.17270949,0,0.0062507,0.82103984,0.16931805,0.00339144,0,0,0,5.308929,0.115963,0,0,0.576296601,0.716905623,0.452317088,0.740980602,0.286650426,0.739506982,0.195830433,2.183389383,13.00761875,0.076878022,-27.99452759,2.188975945,-27.99452759,2.188975945,0,2.148077546,0.071152634,-27.13139612,2.045013123,-0.067306212,0.616714009,-1.376828776,0.505930739,0.033837842,5.336536724,0.252034863,0.102556288,0.094842779,-0.052119244,-0.387349525,0.590402936,0.205515229,-0.399801322,0.267852163,0.218898909,,2.473860848,,,0.020408163,Historical,0,0,1,0,0
25,25,24,0-200,1978,,,1900-present,ofp,No-Event,No-Event,0,0,n_evnt,n_evnt,NA,0.618815152,29.907306,67.528348,2.564346,2.02,6.19,20.95,0.00520534,0.82279647,0.17199819,0,0.00520534,0.82279647,0.1496129,0.02097171,0.00141358,0,0,5.46547,0.102943,0,0.034394,0.655442265,0.707810748,0.446578861,0.811365954,0.313879197,0.751314923,0.188562365,2.245486376,13.89319714,0.071977673,-28.01883817,2.422114859,-28.01883817,2.422114859,0,2.306186902,0.071467158,-27.47681507,1.971846756,-0.219779904,-0.350462268,-0.055759163,1.282419583,0.009559363,5.218016979,0.324040311,0.117669265,0.07389741,-0.00121788,0.353226986,-0.277187332,-0.098867293,-0.141002553,0.276131957,0.276532203,,1.632937512,,,0.020833333,Historical,0,0,0.749564939,0,0.250435061
26,26,25,0-200,1977,,1971,1900-present,ofp,No-Event,1971 A.D.,0,26,n_evnt,evnt,1,0.736860606,26.342277,72.946934,0.71079,2.15,6.84,20.78,0.00598572,0.81040017,0.18361412,0,0.00598572,0.81040017,0.18047273,0.00314139,0,0,0,5.088327,0.114348,0.017928,0,0.561314082,0.738971936,0.466239382,0.761902246,0.294744023,0.739407394,0.151454225,1.803615445,13.89342565,0.071976489,-27.356729,2.306679038,-27.356729,2.306679038,0,2.106169087,0.071046841,-27.04217399,2.055644495,-0.678658061,0.09397475,0.017185999,0.301256537,-0.021131251,5.22065889,0.276920292,0.142045199,0.069132667,0.134156952,-0.339039912,-0.008628405,-0.074028204,-0.293156943,0.277115055,0.281354737,,1.234711909,,,0.02,Historical,0,0,0.864465209,0.135534791,0
27,27,26,0-200,1975,,1971,1900-present,ofp,No-Event,1971 A.D.,0,26,n_evnt,evnt,0.875,0.734130303,25.916314,72.230101,1.853583,2.25,6.74,20.4,0.00250731,0.82213142,0.17536125,0,0.00250731,0.82213142,0.15808817,0.01153841,0.00573467,0,0,5.342185,0.033127,0,0.1467,0.599705011,0.694399934,0.438117579,0.791645239,0.306250183,0.739100573,0.134275768,1.373444585,11.9332925,0.083799169,-26.59056842,2.116327148,-26.59056842,2.116327148,0,2.08361391,0.072247487,-27.10098849,2.071158864,-1.311114823,1.56749019,1.410929555,-0.135901157,0.019241196,5.6685307,0.052104048,0.116875429,0.093618,-0.141523552,-0.356961932,0.219527838,-0.027276141,0.261581771,0.26238426,0.287027712,,0.955847542,,,0.020833333,Historical,0,0,0.184215941,0,0.815784059
28,28,27,0-200,1974,,1971,1900-present,ofp,No-Event,1971 A.D.,0,26,n_evnt,evnt,0.75,0.640978788,26.467515,70.328508,3.203974,1.99,7.14,24.96,0.01617294,0.7665752,0.21725183,0,0.01617294,0.7665752,0.19290594,0.01768312,0.00666277,0,0.153805,4.649051,0.204765,0,0.188508,0.645917605,0.868725747,0.548104921,0.999291749,0.386578818,0.774240379,0.139651114,1.738348721,14.52242981,0.068859,-27.19727935,2.193090034,-27.19727935,2.193090034,0.153805,2.327774803,0.069010092,-27.51696454,1.981438318,-0.279872293,-0.874390624,0.031265866,0.627971507,-0.046297299,5.065478662,0.323903551,0.157931522,0.067958078,1.159314291,-0.353877141,-0.23699621,-0.198900726,0.516988525,0.24711288,0.233333756,,1.760474447,,,0.021276596,Historical,0,0.28113907,0.374288493,0,0.344572438
29,29,28,0-200,1972,,1971,1900-present,ofp,No-Event,1971 A.D.,0,26,n_evnt,evnt,0.625,0.758381818,28.693213,68.562407,2.74438,2.03,6.56,22.56,0.00546983,0.80229776,0.19223241,0,0.00546983,0.80229776,0.1702919,0.01545781,0.0064827,0,0,5.111496,0.132628,0,0.160878,0.651446441,0.753399956,0.475342448,0.871086686,0.33698233,0.760409674,0.156757653,1.78162003,13.25968243,0.075416587,-26.04656327,2.546699073,-26.04656327,2.546699073,0,2.153635487,0.070929366,-27.21191728,2.042722836,0.071996783,0.646709815,1.970762068,1.378901588,-0.01268628,5.471909491,0.217282671,0.115765997,0.070771263,-0.240240849,-0.219826675,0.001971189,0.084510964,0.356762808,0.188125164,0.228119312,,0.720451656,,,0.019607843,Historical,0,0,0.451874919,0,0.548125081
30,30,29,0-200,1971,,1971,1900-present,ofp,No-Event,1971 A.D.,0,26,n_evnt,evnt,0.5,0.789898995,26.286086,73.44427,0.269645,2.36,6.23,16.59,0.00074586,0.87580912,0.12344503,0,0.00074586,0.87580912,0.12344503,0,0,0,0,6.151189,0.079902,0,0,0.540544585,0.547865485,0.345664636,0.547865494,0.211943304,0.704971288,0.148062292,1.752368591,13.80790475,0.072422284,-25.87354642,2.28691134,-25.87354642,2.28691134,0,1.843413792,0.076898632,-26.6500581,2.208038994,0.418674145,-0.965354975,0.16565408,-0.310684804,-0.036805548,5.269345475,0.274780312,0.128934272,0.079423811,0.187951301,1.427862004,-0.301208423,-0.097522788,-0.386500044,0.164282197,0.234168136,,1.187971435,,,0.02,Historical,0,0,1,0,0
